关键词,主风格,辅风格,点缀风格,女角色类型,平台
雨夜/离别/遗憾/错过,王家卫情绪型,陈可辛情感型,萧红型,台湾/江南,起点
打脸/逆袭/爽文/退婚,周星驰无厘头,战神赘婿型,龙王型,东北/川渝,番茄
搞笑/日常/轻松/脑洞,刘镇伟奇幻型,国漫搞笑型,吐槽之王,湖南/湖北,番茄
热血/战斗/升级/宗门,徐克武侠型,中原五白型,国漫玄幻,山东/北京,起点
悬疑/恐怖/灵异/鬼,僵尸道长型,规则怪谈型,邱礼涛型,广东/陕西,番茄
末世/生存/囤货/丧尸,末世家国型,囤货求生型,国漫末世,东北/河南,番茄
情色/后宫/禁忌/擦边,王晶咸湿型,风月型,情色擦边库,四川/上海,番茄
修仙/长生/渡劫/飞升,国漫凡人流,玄幻修仙型,中原五青,江南/山东,起点
权谋/宫斗/朝堂/夺嫡,权谋宫斗型,人性博弈型,幕后黑手,江南/北京,起点
都市/神豪/系统/签到,神豪系统型,战神赘婿型,金钱碾压,东北/广东,番茄
重生/穿越/先知/剧透,重生穿越型,考据式穿越,迪化流,湖南/上海,番茄
虐恋/追妻/火葬场,陈可辛情感型,霸总契约型,虐恋追妻,台湾/江南,晋江
黑帮/江湖/义气/复仇,麦当雄枭雄型,吴宇森暴力美学,林岭东型,东北/湖北,起点
写实/底层/社会/残酷,尔冬升写实型,沈从文型,汪曾祺型,河南/陕西,知乎
甜宠/恋爱/校园/青梅,席绢真实版,于晴真实版,陈可辛情感,台湾/江南,晋江
系统/签到/面板/任务,系统流游戏型,神豪系统型,国漫系统,任意,番茄
无敌/隐藏大佬/扮猪,无敌摆烂型,战神赘婿型,龙王型,任意,番茄
脑洞/反套路/迪化,反套路祖师,迪化修仙流,乐子天尊,任意,番茄
苟道/稳健/谨慎,国漫凡人流,苟道修仙流,稳健流,任意,起点
诡异/克苏鲁/污染,痛苦邪神型,规则怪谈型,恐惧魔王,任意,番茄
